timestamp,price,volume,amount
2026-01-02 09:30:00,30.70,1553,47677
2026-01-02 09:30:01,30.62,1504,46052
2026-01-02 09:30:02,30.64,1476,45225
2026-01-02 09:30:03,30.42,1562,47516
2026-01-02 09:30:04,30.05,1573,47269
2026-01-02 09:30:05,30.48,1514,46147
2026-01-02 09:30:06,30.35,1509,45798
2026-01-02 09:30:07,30.36,1494,45358
2026-01-02 09:30:08,30.13,1437,43297
2026-01-02 09:30:09,30.15,1557,46944
2026-01-02 09:30:10,29.67,1501,44535
2026-01-02 09:30:11,29.74,1464,43539
2026-01-02 09:30:12,29.84,1445,43119
2026-01-02 09:30:13,29.86,1594,47597
2026-01-02 09:30:14,30.31,1508,45707
2026-01-02 09:30:15,30.34,1510,45813
2026-01-02 09:30:16,30.19,1511,45617
2026-01-02 09:30:17,30.51,1571,47931
2026-01-02 09:30:18,30.80,1511,46539
2026-01-02 09:30:19,30.80,1537,47340
2026-01-02 09:30:20,30.80,1572,48418
2026-01-02 09:30:21,30.80,1448,44598
2026-01-02 09:30:22,30.80,1489,45861
2026-01-02 09:30:23,30.52,1505,45933
2026-01-02 09:30:24,30.80,1511,46539
2026-01-02 09:30:25,30.80,1538,47370
2026-01-02 09:30:26,30.60,1513,46298
2026-01-02 09:30:27,30.39,1437,43670
2026-01-02 09:30:28,30.79,1516,46678
2026-01-02 09:30:29,30.80,1483,45676
2026-01-02 09:30:30,30.80,1559,48017
2026-01-02 09:30:31,30.80,1471,45307
2026-01-02 09:30:32,30.79,1528,47047
2026-01-02 09:30:33,30.80,1464,45091
2026-01-02 09:30:34,30.80,1488,45830
2026-01-02 09:30:35,30.80,1492,45954
2026-01-02 09:30:36,30.80,1534,47247
2026-01-02 09:30:37,30.80,1470,45276
2026-01-02 09:30:38,30.80,1506,46385
2026-01-02 09:30:39,30.80,1498,46138
2026-01-02 09:30:40,30.80,1463,45060
2026-01-02 09:30:41,30.80,1546,47617
2026-01-02 09:30:42,30.80,1518,46754
2026-01-02 09:30:43,30.80,1499,46169
2026-01-02 09:30:44,30.80,1471,45307
2026-01-02 09:30:45,30.80,1490,45892
2026-01-02 09:30:46,30.73,1516,46587
2026-01-02 09:30:47,30.61,1428,43711
2026-01-02 09:30:48,30.67,1490,45698
2026-01-02 09:30:49,30.29,1520,46041
2026-01-02 09:30:50,30.06,1479,44459
2026-01-02 09:30:51,30.48,1512,46086
2026-01-02 09:30:52,30.11,1432,43118
2026-01-02 09:30:53,30.79,1462,45015
2026-01-02 09:30:54,30.76,1527,46971
2026-01-02 09:30:55,30.26,1476,44664
2026-01-02 09:30:56,30.42,1493,45417
2026-01-02 09:30:57,30.65,1515,46435
2026-01-02 09:30:58,30.59,1516,46374
2026-01-02 09:30:59,30.29,1510,45738
2026-01-02 09:31:00,30.26,1520,45995
