timestamp,price,change_amount,change_pct,volume,amount
2026-01-02 09:30:00,44.81,0.00,0.00,370,16580
2026-01-02 09:30:01,44.82,0.01,0.02,328,14701
2026-01-02 09:30:02,44.81,0.00,0.00,359,16087
2026-01-02 09:30:03,44.82,0.01,0.02,342,15328
2026-01-02 09:30:04,44.81,0.00,0.00,390,17476
2026-01-02 09:30:05,44.82,0.01,0.02,358,16046
2026-01-02 09:30:06,44.81,0.00,0.00,357,15997
2026-01-02 09:30:07,44.82,0.01,0.02,346,15508
2026-01-02 09:30:08,44.81,0.00,0.00,358,16042
2026-01-02 09:30:09,44.82,0.01,0.02,377,16897
2026-01-02 09:30:10,44.81,0.00,0.00,374,16759
2026-01-02 09:30:11,44.82,0.01,0.02,353,15821
2026-01-02 09:30:12,44.81,0.00,0.00,321,14384
2026-01-02 09:30:13,44.82,0.01,0.02,327,14656
2026-01-02 09:30:14,44.81,0.00,0.00,385,17252
2026-01-02 09:30:15,44.82,0.01,0.02,357,16001
2026-01-02 09:30:16,44.81,0.00,0.00,361,16176
2026-01-02 09:30:17,44.82,0.01,0.02,354,15866
2026-01-02 09:30:18,44.81,0.00,0.00,352,15773
2026-01-02 09:30:19,44.82,0.01,0.02,351,15732
2026-01-02 09:30:20,44.81,0.00,0.00,358,16042
2026-01-02 09:30:21,44.82,0.01,0.02,365,16359
2026-01-02 09:30:22,44.81,0.00,0.00,345,15459
2026-01-02 09:30:23,44.82,0.01,0.02,336,15060
2026-01-02 09:30:24,44.81,0.00,0.00,352,15773
2026-01-02 09:30:25,44.82,0.01,0.02,352,15777
2026-01-02 09:30:26,44.81,0.00,0.00,316,14160
2026-01-02 09:30:27,44.82,0.01,0.02,351,15732
2026-01-02 09:30:28,44.81,0.00,0.00,313,14026
2026-01-02 09:30:29,44.82,0.01,0.02,324,14522
2026-01-02 09:30:30,44.81,0.00,0.00,364,16311
2026-01-02 09:30:31,44.82,0.01,0.02,334,14970
2026-01-02 09:30:32,44.81,0.00,0.00,326,14608
2026-01-02 09:30:33,44.82,0.01,0.02,355,15911
2026-01-02 09:30:34,44.81,0.00,0.00,325,14563
2026-01-02 09:30:35,44.82,0.01,0.02,354,15866
2026-01-02 09:30:36,44.81,0.00,0.00,349,15639
2026-01-02 09:30:37,44.82,0.01,0.02,359,16090
2026-01-02 09:30:38,44.81,0.00,0.00,359,16087
2026-01-02 09:30:39,44.82,0.01,0.02,373,16718
2026-01-02 09:30:40,44.81,0.00,0.00,339,15191
2026-01-02 09:30:41,44.82,0.01,0.02,369,16539
2026-01-02 09:30:42,44.81,0.00,0.00,342,15325
2026-01-02 09:30:43,44.82,0.01,0.02,364,16314
2026-01-02 09:30:44,44.81,0.00,0.00,351,15728
2026-01-02 09:30:45,44.82,0.01,0.02,345,15463
2026-01-02 09:30:46,44.81,0.00,0.00,360,16132
2026-01-02 09:30:47,44.82,0.01,0.02,360,16135
2026-01-02 09:30:48,44.81,0.00,0.00,346,15504
2026-01-02 09:30:49,44.82,0.01,0.02,325,14566
